AssetId|ClientAssetID|LocationSGcode FROM FAR
1799|LAN9600325|C01600070002683700000
1799|LAN9600326|C01600070002683000000
1799|LAN9601149|C01600070002683800000
1799|LAN9603688|C01600070002683300000
1799|LAN9604516|C01600070002683200000
1800|LAN9600601|C01600070010896000000
1803|LAN9598640|C01600150000302100000
1805|LAN9602253|C01600070009749800000
1806|LAN9598947|C01600390000042500000
1806|LAN9599870|C01600390000044000000
1806|LAN9604526|C01600390000273300000
1806|LAN9604527|C01600390000242600000
2063|LAN9600551|C01600340000661700000
20635|LAN9602529|C03900080000639900000
2064|LAN9603889|C01600340000224900000
2065|LAN9600224|C04600100000025400000
2065|LAN9601872|C04600100000015600000
2065|LAN9602751|C04600100000139700000
20650|LAN9601814|C06700250000309800000
2069|LAN9601080|C01100050000064900000
2070|LAN9602204|C01600460000031900000
2070|LAN9603878|C01600460000350400000
2070|LAN9603879|C01600460000161900000
2070|LAN9604732|C01600460000334800000
2071|LAN9600543|C01600460000108500000
2071|LAN9602203|C01600460000108300000
2071|LAN9603069|C01600460000049900000
2071|LAN9603070|C01600460000110900000
2074|LAN9602201|C01600460000053300000
2075|LAN9598846|C01600460000335100000
2075|LAN9601338|C01600460000251000000
2076|LAN9601104|C05800070000131900000
2076|LAN9601931|C05800070000131800000
2462|LAN9599676|C01600200000618600000
2462|LAN9601314|C01600200000024100000
2462|LAN9603048|C01600200000618800000
2462|LAN9603049|C01600200000465300000
2462|LAN9603847|C01600200000022800000
2462|LAN9603854|C01600200000619000000
2462|LAN9604687|C01600200000023100000
2462|LAN9604707|C01600200000618900000
2463|LAN9601321|C01600070010735400000
2465|LAN9602497|C02700050000033100000
2469|LAN9605030|C02700100000052700000
2470|LAN9601689|C03900000000043700037
2471|LAN9601693|C03900110000000400000
2472|LAN9599179|C03900050000328200000
2474|LAN9600117|C05100110000171400000
2474|LAN9601753|C05100110000171500000
2476|LAN9599069|C05400030000015000000
2476|LAN9599922|C05400030000014900000
2476|LAN9600754|C05400030000015600000
2476|LAN9601544|C05400030000015700000
2476|LAN9601568|C05400030000035700000
2476|LAN9602424|C05400030000015300000
2476|LAN9604108|C05400030000015400000
2476|LAN9604109|C05400030000015200000
2476|LAN9604961|C05400030000015100000
2476|LAN9604962|C05400030000014800000
2476|LAN9604965|C05400030000015800000
2476|LAN9604966|C05400030000015500000
2479|LAN9598819|C01600070011050100000
2480|LAN9604704|C01600070010978100000
2481|LAN9603042|C01600070010977800000
2484|LAN9604691|C01600070010733700000
2485|LAN9603851|C01600070010768200000
2486|LAN9599673|C01600070006860200000
2486|LAN9603032|C01600070006860100000
2486|LAN9603033|C01600070006859900000
2486|LAN9604689|C01600070006860000000
2486|LAN9604690|C01600070006859800000
2487|LAN9602173|C01600200000044700000
2487|LAN9603038|C01600200000044800000
2489|LAN9604699|C01600200000943900000
2490|LAN9602172|C01600200000654500000
2491|LAN9602171|C01600070007514900000
2492|LAN9602170|C01600200001143400000
2494|LAN9600457|C01600200001004400000
2494|LAN9602115|C01600200000306600000
2495|LAN9602114|C01600200000315000000
2496|LAN9599012|C01600200000252900000
2496|LAN9600456|C01600200000252400000
3355|LAN9603759|C01600070006698900000
3514|LAN9600821|C07800000000029900038
3518|LAN9603466|C05100070000413200000
3519|LAN9599138|C02700020000170200000
3519|LAN9599987|C02700020000170300000
3520|LAN9601623|C02700020000419200000
3529|LAN9599135|C02700020000272000000
3529|LAN9599136|C02700020000271700000
3529|LAN9599137|C02700020000271600000
3529|LAN9600802|C02700020000271800000
3529|LAN9601601|C02700020000842900000
3529|LAN9601602|C02700020000716800000
3529|LAN9601603|C02700020000309200000
3529|LAN9602488|C02700020000716700000
3529|LAN9603342|C02700020000271900000
3529|LAN9603343|C02700020000271200000
3529|LAN9605024|C02700020000716600000
3531|LAN9600016|C03900050000075800000
3531|LAN9601648|C03900050000432200000
3531|LAN9602526|C03900050000077700000
3531|LAN9603375|C03900050000088100000
3538|LAN9601691|C03900080000546200000
3542|LAN9600058|C03900000000030700003
3542|LAN9600875|C03900000000030700002
3543|LAN9604160|C02700000000009800020
3544|LAN9601535|C05400050000085100000
3544|LAN9604103|C05400050000085300000
3544|LAN9604104|C05400050000085200000
3545|LAN9599916|C05400050000103900000
